,Company,Bar_name,Review_update,Review_date,Cocoa_percentage,Company_location,Quality,Bean_type,Beans_location,Quality(round)
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,,Sao Tome,3
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,,Togo,2
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,,Togo,5
3,A. Morin,Akata,1680,2015,70.0,France,3.5,,Togo,3
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,,Peru,3
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,2
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,,Cuba,3
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,3
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,3
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,,Peru,5
10,A. Morin,Panama,1011,2013,70.0,France,2.75,,Panama,2
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,5
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,,Brazil,3
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,,Ecuador,3
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,,Colombia,2
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,,Burma,5
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,,Papua New Guinea,3
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,5
18,A. Morin,Piura,1019,2013,70.0,France,3.25,,Peru,3
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,Peru,3
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,Peru,5
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,,Bolivia,3
22,A. Morin,Peru,797,2012,63.0,France,3.75,,Peru,3
23,Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,Peru,3
24,Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,3
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,2
26,Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,3
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,3
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,3
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,2
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,5
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,5
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,3
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,2
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,2
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad,2
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,2
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,5
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,2
39,Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,,Peru,2
40,Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,3
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,3
42,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,3
43,Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,3
44,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,,Nicaragua,2
45,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,,Peru,5
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,,Bolivia,2
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,,Peru,2
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,,Ecuador,2
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,,Venezuela,2
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,5
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,,Bolivia,3
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,,Bolivia,5
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,,Peru,3
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0,,Papua New Guinea,5
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,,Dominican Republic,3
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0,,Ecuador,5
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,5
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0,,Venezuela,5
59,Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,,Indonesia,2
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,3
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,,Venezuela,5
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,3
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,5
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,,Ecuador,2
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,,Ecuador,2
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,5
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,,Peru,3
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,3
